Usage_ID,Customer_ID,Usage_Month,Usage_Hours,Sessions,Data_Usage_GB,Usage_Issue_Count
U00001_01,CUST00001,2025-10-01,18.47,16,29.66,0
U00001_02,CUST00001,2025-11-01,23.56,25,27.31,0
U00001_03,CUST00001,2025-12-01,27.21,19,12.87,1
U00001_04,CUST00001,2026-01-01,10.3,20,24.97,1
U00001_05,CUST00001,2026-02-01,3.89,14,33.11,1
U00001_06,CUST00001,2026-03-01,13.76,15,21.78,1
U00001_07,CUST00001,2026-04-01,18.21,23,19.79,0
U00002_01,CUST00002,2025-06-01,35.38,20,28.15,0
U00002_02,CUST00002,2025-07-01,27.79,24,23.61,2
U00002_03,CUST00002,2025-08-01,16.62,10,20.04,3
U00002_04,CUST00002,2025-09-01,24.67,13,46.95,1
U00002_05,CUST00002,2025-10-01,24.35,18,29.01,0
U00002_06,CUST00002,2025-11-01,32.79,18,46.78,0
U00002_07,CUST00002,2025-12-01,14.53,12,26.98,4
U00002_08,CUST00002,2026-01-01,41.11,19,24.98,0
U00002_09,CUST00002,2026-02-01,16.43,20,34.61,0
U00002_10,CUST00002,2026-03-01,2.18,20,28.57,1
U00002_11,CUST00002,2026-04-01,11.98,11,46.04,2
U00002_12,CUST00002,2026-05-01,4.83,17,33.02,1
U00003_01,CUST00003,2026-02-01,11.33,18,22.09,0
U00003_02,CUST00003,2026-03-01,14.08,7,32.69,1
U00003_03,CUST00003,2026-04-01,11.02,28,28.12,0
U00003_04,CUST00003,2026-05-01,11.3,15,37.56,2
U00004_01,CUST00004,2025-09-01,24.46,20,24.86,0
U00004_02,CUST00004,2025-10-01,22.21,9,20.09,1
U00004_03,CUST00004,2025-11-01,28.9,23,44.68,2
U00004_04,CUST00004,2025-12-01,17.3,12,40.79,2
U00004_05,CUST00004,2026-01-01,17.36,8,31.65,1
U00004_06,CUST00004,2026-02-01,20.57,17,29.77,0
U00004_07,CUST00004,2026-03-01,29.77,21,31.27,2
U00004_08,CUST00004,2026-04-01,35.18,15,34.14,3
U00004_09,CUST00004,2026-05-01,8.63,25,32.51,2
U00005_01,CUST00005,2025-12-01,28.82,12,15.63,1
U00005_02,CUST00005,2026-01-01,61.9,4,13.85,0
U00005_03,CUST00005,2026-02-01,21.03,11,14.65,1
U00005_04,CUST00005,2026-03-01,27.31,9,18.46,1
U00005_05,CUST00005,2026-04-01,13.29,18,22.42,0
U00006_01,CUST00006,2025-12-01,16.53,24,44.66,0
U00006_02,CUST00006,2026-01-01,57.19,25,24.69,1
U00006_03,CUST00006,2026-02-01,8.4,21,39.75,1
U00006_04,CUST00006,2026-03-01,1.0,10,12.05,2
U00006_05,CUST00006,2026-04-01,8.26,18,55.48,2
U00006_06,CUST00006,2026-05-01,22.52,13,38.47,1
U00007_01,CUST00007,2026-04-01,23.58,13,40.85,0
U00007_02,CUST00007,2026-05-01,15.05,13,28.45,1
U00008_01,CUST00008,2024-05-01,15.3,18,27.31,1
U00008_02,CUST00008,2024-06-01,17.36,23,21.24,2
U00008_03,CUST00008,2024-07-01,18.56,10,5.86,3
U00008_04,CUST00008,2024-08-01,19.92,11,0.2,1
U00008_05,CUST00008,2024-09-01,49.21,20,12.36,1
U00008_06,CUST00008,2024-10-01,23.11,14,23.59,0
U00008_07,CUST00008,2024-11-01,32.29,26,13.23,3
U00008_08,CUST00008,2024-12-01,4.31,28,17.81,0
U00008_09,CUST00008,2025-01-01,10.38,20,9.73,3
U00008_10,CUST00008,2025-02-01,29.41,15,18.7,1
U00008_11,CUST00008,2025-03-01,34.13,18,22.98,2
U00008_12,CUST00008,2025-04-01,37.92,30,39.9,0
U00008_13,CUST00008,2025-05-01,11.93,3,12.74,1
U00008_14,CUST00008,2025-06-01,24.4,31,23.71,0
U00008_15,CUST00008,2025-07-01,33.91,23,32.77,2
U00008_16,CUST00008,2025-08-01,37.54,14,20.95,2
U00008_17,CUST00008,2025-09-01,9.67,1,8.99,0
U00008_18,CUST00008,2025-10-01,20.13,18,14.87,0
U00009_01,CUST00009,2025-11-01,10.67,22,14.69,2
U00009_02,CUST00009,2025-12-01,42.51,14,45.34,3
U00009_03,CUST00009,2026-01-01,19.89,23,35.84,1
U00009_04,CUST00009,2026-02-01,19.68,17,31.25,0
U00009_05,CUST00009,2026-03-01,24.73,11,39.47,1
U00009_06,CUST00009,2026-04-01,16.81,14,24.07,0
U00010_01,CUST00010,2024-01-01,22.71,17,15.79,2
U00010_02,CUST00010,2024-02-01,14.25,9,2.85,0
U00010_03,CUST00010,2024-03-01,41.02,22,21.11,1
U00010_04,CUST00010,2024-04-01,18.59,11,9.89,0
U00010_05,CUST00010,2024-05-01,11.14,10,11.46,0
U00010_06,CUST00010,2024-06-01,47.44,24,9.26,1
U00010_07,CUST00010,2024-07-01,20.03,10,16.1,0
U00010_08,CUST00010,2024-08-01,41.57,8,4.01,0
U00010_09,CUST00010,2024-09-01,27.51,13,13.13,0
U00010_10,CUST00010,2024-10-01,11.76,14,18.49,0
U00010_11,CUST00010,2024-11-01,11.74,16,8.92,3
U00010_12,CUST00010,2024-12-01,26.61,11,38.43,0
U00010_13,CUST00010,2025-01-01,46.03,14,7.98,0
U00010_14,CUST00010,2025-02-01,6.3,18,2.76,1
U00010_15,CUST00010,2025-03-01,31.08,13,18.47,0
U00010_16,CUST00010,2025-04-01,13.74,23,23.3,0
U00010_17,CUST00010,2025-05-01,42.46,22,15.97,2
U00010_18,CUST00010,2025-06-01,22.15,18,18.87,1
U00011_01,CUST00011,2024-09-01,5.06,15,2.2,1
U00011_02,CUST00011,2024-10-01,20.26,19,25.71,0
U00011_03,CUST00011,2024-11-01,22.09,21,21.38,1
U00011_04,CUST00011,2024-12-01,15.54,14,22.04,0
U00011_05,CUST00011,2025-01-01,31.6,12,33.1,1
U00011_06,CUST00011,2025-02-01,25.22,16,8.21,1
U00011_07,CUST00011,2025-03-01,30.44,11,31.86,1
U00011_08,CUST00011,2025-04-01,34.55,5,32.96,0
U00011_09,CUST00011,2025-05-01,22.28,36,19.09,2
U00011_10,CUST00011,2025-06-01,29.96,31,31.45,0
U00011_11,CUST00011,2025-07-01,22.33,18,8.1,2
U00011_12,CUST00011,2025-08-01,18.61,18,28.94,1
U00011_13,CUST00011,2025-09-01,18.25,15,26.52,1
U00011_14,CUST00011,2025-10-01,3.21,15,34.69,0
U00011_15,CUST00011,2025-11-01,9.47,16,0.2,1
U00011_16,CUST00011,2025-12-01,19.43,10,23.17,1
U00011_17,CUST00011,2026-01-01,12.01,16,43.73,0
U00011_18,CUST00011,2026-02-01,20.78,19,16.56,0
U00012_01,CUST00012,2024-07-01,12.19,24,44.72,0
U00012_02,CUST00012,2024-08-01,12.82,12,26.75,1
U00012_03,CUST00012,2024-09-01,26.44,23,22.6,2
U00012_04,CUST00012,2024-10-01,9.79,22,15.3,2
U00012_05,CUST00012,2024-11-01,49.09,27,14.47,0
U00012_06,CUST00012,2024-12-01,8.4,30,14.47,2
U00012_07,CUST00012,2025-01-01,14.28,24,31.69,1
U00012_08,CUST00012,2025-02-01,57.98,22,33.71,2
U00012_09,CUST00012,2025-03-01,17.96,19,22.22,0
U00012_10,CUST00012,2025-04-01,54.46,23,34.56,1
U00012_11,CUST00012,2025-05-01,34.11,16,40.07,0
U00012_12,CUST00012,2025-06-01,13.53,18,28.52,1
U00012_13,CUST00012,2025-07-01,22.51,11,18.48,1
U00012_14,CUST00012,2025-08-01,10.79,36,32.95,0
U00012_15,CUST00012,2025-09-01,22.26,22,16.81,0
U00012_16,CUST00012,2025-10-01,68.27,17,28.48,0
U00012_17,CUST00012,2025-11-01,23.08,31,31.53,0
U00012_18,CUST00012,2025-12-01,29.68,14,21.12,1
U00013_01,CUST00013,2025-10-01,19.39,23,33.34,0
U00013_02,CUST00013,2025-11-01,9.79,25,43.29,1
U00013_03,CUST00013,2025-12-01,19.13,18,27.38,0
U00013_04,CUST00013,2026-01-01,10.07,26,30.13,2
U00013_05,CUST00013,2026-02-01,15.29,19,40.9,0
U00013_06,CUST00013,2026-03-01,29.76,18,26.83,1
U00013_07,CUST00013,2026-04-01,41.83,6,14.41,1
U00014_01,CUST00014,2024-08-01,8.89,16,23.74,2
U00014_02,CUST00014,2024-09-01,9.48,20,43.67,1
U00014_03,CUST00014,2024-10-01,46.06,13,26.45,1
U00014_04,CUST00014,2024-11-01,42.05,14,35.44,0
U00014_05,CUST00014,2024-12-01,15.93,34,41.38,1
U00014_06,CUST00014,2025-01-01,16.07,22,34.86,1
U00014_07,CUST00014,2025-02-01,24.3,5,19.43,0
U00014_08,CUST00014,2025-03-01,19.68,30,38.95,0
U00014_09,CUST00014,2025-04-01,9.94,1,23.3,1
U00014_10,CUST00014,2025-05-01,40.2,10,37.84,2
U00014_11,CUST00014,2025-06-01,16.1,23,37.07,1
U00014_12,CUST00014,2025-07-01,41.31,22,28.3,1
U00014_13,CUST00014,2025-08-01,11.72,18,44.78,0
U00014_14,CUST00014,2025-09-01,31.4,7,18.4,1
U00014_15,CUST00014,2025-10-01,30.27,19,27.99,2
U00014_16,CUST00014,2025-11-01,28.17,19,33.76,0
U00014_17,CUST00014,2025-12-01,25.31,15,33.75,1
U00014_18,CUST00014,2026-01-01,14.9,18,26.41,1
U00015_01,CUST00015,2024-04-01,23.1,14,29.78,2
U00015_02,CUST00015,2024-05-01,9.31,24,29.93,0
U00015_03,CUST00015,2024-06-01,8.59,28,37.06,0
U00015_04,CUST00015,2024-07-01,19.73,22,39.23,3
U00015_05,CUST00015,2024-08-01,38.81,21,25.24,0
U00015_06,CUST00015,2024-09-01,49.87,18,25.19,0
U00015_07,CUST00015,2024-10-01,13.45,24,27.48,1
U00015_08,CUST00015,2024-11-01,2.87,20,36.79,0
U00015_09,CUST00015,2024-12-01,10.65,17,56.02,2
U00015_10,CUST00015,2025-01-01,19.8,11,32.38,0
U00015_11,CUST00015,2025-02-01,10.38,16,41.89,0
U00015_12,CUST00015,2025-03-01,28.4,19,24.01,1
