Payment_ID,Customer_ID,Payment_Date,Amount,Payment_Method,Payment_Status,Payment_Month
PAY0000001,CUST00001,2025-10-16,799,UPI,Failed,2025-10
PAY0000002,CUST00001,2025-11-16,799,UPI,Success,2025-11
PAY0000003,CUST00001,2025-12-16,799,UPI,Success,2025-12
PAY0000004,CUST00001,2026-01-16,799,UPI,Success,2026-01
PAY0000005,CUST00001,2026-02-16,799,UPI,Success,2026-02
PAY0000006,CUST00001,2026-03-16,799,UPI,Success,2026-03
PAY0000007,CUST00001,2026-04-16,799,UPI,Success,2026-04
PAY0000008,CUST00002,2025-06-01,1499,AutoPay,Success,2025-06
PAY0000009,CUST00002,2025-07-01,1499,AutoPay,Success,2025-07
PAY0000010,CUST00002,2025-08-01,1499,AutoPay,Success,2025-08
PAY0000011,CUST00002,2025-09-01,1499,AutoPay,Success,2025-09
PAY0000012,CUST00002,2025-10-01,1499,AutoPay,Failed,2025-10
PAY0000013,CUST00002,2025-11-01,1499,AutoPay,Success,2025-11
PAY0000014,CUST00002,2025-12-01,1499,AutoPay,Success,2025-12
PAY0000015,CUST00002,2026-01-01,1499,AutoPay,Success,2026-01
PAY0000016,CUST00002,2026-02-01,1499,AutoPay,Success,2026-02
PAY0000017,CUST00002,2026-03-01,1499,AutoPay,Success,2026-03
PAY0000018,CUST00002,2026-04-01,1499,AutoPay,Success,2026-04
PAY0000019,CUST00002,2026-05-01,1499,AutoPay,Success,2026-05
PAY0000020,CUST00003,2026-02-16,1199,Debit Card,Success,2026-02
PAY0000021,CUST00003,2026-03-16,1199,Debit Card,Success,2026-03
PAY0000022,CUST00003,2026-04-16,1199,Debit Card,Success,2026-04
PAY0000023,CUST00003,2026-05-16,1199,Debit Card,Success,2026-05
PAY0000024,CUST00004,2025-09-10,1499,Debit Card,Success,2025-09
PAY0000025,CUST00004,2025-10-10,1499,Debit Card,Success,2025-10
PAY0000026,CUST00004,2025-11-10,1499,Debit Card,Success,2025-11
PAY0000027,CUST00004,2025-12-10,1499,Debit Card,Success,2025-12
PAY0000028,CUST00004,2026-01-10,1499,Debit Card,Failed,2026-01
PAY0000029,CUST00004,2026-02-10,1499,Debit Card,Success,2026-02
PAY0000030,CUST00004,2026-03-10,1499,Debit Card,Success,2026-03
PAY0000031,CUST00004,2026-04-10,1499,Debit Card,Success,2026-04
PAY0000032,CUST00004,2026-05-10,1499,Debit Card,Success,2026-05
PAY0000033,CUST00005,2025-12-22,499,UPI,Success,2025-12
PAY0000034,CUST00005,2026-01-22,499,UPI,Failed,2026-01
PAY0000035,CUST00005,2026-02-22,499,UPI,Success,2026-02
PAY0000036,CUST00005,2026-03-22,5988,UPI,Success,2026-03
PAY0000037,CUST00005,2026-04-22,499,UPI,Success,2026-04
