Payment_ID,Customer_ID,Payment_Date,Amount,Payment_Method,Payment_Status
PAY0000001,CUST00001,2025-10-16,799,UPI,Failed
PAY0000002,CUST00001,2025-11-16,799,UPI,Success
PAY0000003,CUST00001,2025-12-16,799,UPI,Success
PAY0000004,CUST00001,2026-01-16,799,UPI,Success
PAY0000005,CUST00001,2026-02-16,799,UPI,Success
PAY0000006,CUST00001,2026-03-16,799,UPI,Success
PAY0000007,CUST00001,2026-04-16,799,UPI,Success
PAY0000008,CUST00002,2025-06-01,1499,AutoPay,Success
PAY0000009,CUST00002,2025-07-01,1499,AutoPay,Success
PAY0000010,CUST00002,2025-08-01,1499,AutoPay,Success
PAY0000011,CUST00002,2025-09-01,1499,AutoPay,Success
PAY0000012,CUST00002,2025-10-01,1499,AutoPay,Failed
PAY0000013,CUST00002,2025-11-01,1499,AutoPay,Success
PAY0000014,CUST00002,2025-12-01,1499,AutoPay,Success
PAY0000015,CUST00002,2026-01-01,1499,AutoPay,Success
PAY0000016,CUST00002,2026-02-01,1499,AutoPay,Success
PAY0000017,CUST00002,2026-03-01,1499,AutoPay,Success
PAY0000018,CUST00002,2026-04-01,1499,AutoPay,Success
PAY0000019,CUST00002,2026-05-01,1499,AutoPay,Success
PAY0000020,CUST00003,2026-02-16,1199,Debit Card,Success
PAY0000021,CUST00003,2026-03-16,1199,Debit Card,Success
PAY0000022,CUST00003,2026-04-16,1199,Debit Card,Success
PAY0000023,CUST00003,2026-05-16,1199,Debit Card,Success
PAY0000024,CUST00004,2025-09-10,1499,Debit Card,Success
PAY0000025,CUST00004,2025-10-10,1499,Debit Card,Success
PAY0000026,CUST00004,2025-11-10,1499,Debit Card,Success
PAY0000027,CUST00004,2025-12-10,1499,Debit Card,Success
PAY0000028,CUST00004,2026-01-10,1499,Debit Card,Failed
PAY0000029,CUST00004,2026-02-10,1499,Debit Card,Success
PAY0000030,CUST00004,2026-03-10,1499,Debit Card,Success
PAY0000031,CUST00004,2026-04-10,1499,Debit Card,Success
PAY0000032,CUST00004,2026-05-10,1499,Debit Card,Success
PAY0000033,CUST00005,2025-12-22,499,UPI,Success
PAY0000034,CUST00005,2026-01-22,499,UPI,Failed
PAY0000035,CUST00005,2026-02-22,499,UPI,Success
PAY0000036,CUST00005,2026-03-22,5988,UPI,Success
PAY0000037,CUST00005,2026-04-22,499,UPI,Success
PAY0000038,CUST00006,2025-12-19,799,Net Banking,Success
PAY0000039,CUST00006,2026-01-19,799,Net Banking,Failed
PAY0000040,CUST00006,2026-02-19,799,Net Banking,Success
PAY0000041,CUST00006,2026-03-19,799,Net Banking,Success
PAY0000042,CUST00006,2026-04-19,799,Net Banking,Success
PAY0000043,CUST00006,2026-05-19,799,Net Banking,Success
PAY0000044,CUST00007,2026-04-04,799,AutoPay,Success
PAY0000045,CUST00007,2026-05-04,799,AutoPay,Success
PAY0000046,CUST00008,2024-05-21,499,Credit Card,Success
PAY0000047,CUST00008,2024-06-21,499,Credit Card,Success
PAY0000048,CUST00008,2024-07-21,499,Credit Card,Success
PAY0000049,CUST00008,2024-08-21,499,Credit Card,Success
PAY0000050,CUST00008,2024-09-21,499,Credit Card,Success
PAY0000051,CUST00008,2024-10-21,499,Credit Card,Success
PAY0000052,CUST00008,2024-11-21,499,Credit Card,Success
PAY0000053,CUST00008,2024-12-21,499,Credit Card,Success
PAY0000054,CUST00008,2025-01-21,499,Credit Card,Success
PAY0000055,CUST00008,2025-02-21,499,Credit Card,Success
PAY0000056,CUST00008,2025-03-21,499,Credit Card,Success
PAY0000057,CUST00008,2025-04-21,499,Credit Card,Success
PAY0000058,CUST00009,2025-11-27,1199,Net Banking,Success
PAY0000059,CUST00009,2025-12-27,1199,Net Banking,Success
PAY0000060,CUST00009,2026-01-27,1199,Net Banking,Success
PAY0000061,CUST00009,2026-02-27,1199,Net Banking,Success
PAY0000062,CUST00009,2026-03-27,1199,Net Banking,Success
PAY0000063,CUST00009,2026-04-27,1199,Net Banking,Success
PAY0000064,CUST00010,2024-01-04,499,Debit Card,Success
PAY0000065,CUST00010,2024-02-04,499,Debit Card,Success
PAY0000066,CUST00010,2024-03-04,1497,Debit Card,Success
PAY0000067,CUST00010,2024-04-04,1497,Debit Card,Success
PAY0000068,CUST00010,2024-05-04,499,Debit Card,Success
PAY0000069,CUST00010,2024-06-04,1497,Debit Card,Success
PAY0000070,CUST00010,2024-07-04,499,Debit Card,Success
PAY0000071,CUST00010,2024-08-04,998,Debit Card,Success
PAY0000072,CUST00010,2024-09-04,499,Debit Card,Success
PAY0000073,CUST00010,2024-10-04,499,Debit Card,Success
PAY0000074,CUST00010,2024-11-04,499,Debit Card,Success
PAY0000075,CUST00010,2024-12-04,499,Debit Card,Success
PAY0000076,CUST00011,2024-09-02,5988,UPI,Success
PAY0000077,CUST00011,2024-10-02,998,UPI,Success
PAY0000078,CUST00011,2024-11-02,1497,UPI,Success
PAY0000079,CUST00011,2024-12-02,499,UPI,Success
PAY0000080,CUST00011,2025-01-02,499,UPI,Success
PAY0000081,CUST00011,2025-02-02,1497,UPI,Success
PAY0000082,CUST00011,2025-03-02,1497,UPI,Success
PAY0000083,CUST00011,2025-04-02,998,UPI,Success
PAY0000084,CUST00011,2025-05-02,499,UPI,Success
PAY0000085,CUST00011,2025-06-02,1497,UPI,Success
PAY0000086,CUST00011,2025-07-02,5988,UPI,Success
PAY0000087,CUST00011,2025-08-02,5988,UPI,Success
PAY0000088,CUST00012,2024-07-24,1499,Net Banking,Failed
PAY0000089,CUST00012,2024-08-24,1499,Net Banking,Success
PAY0000090,CUST00012,2024-09-24,1499,Net Banking,Failed
PAY0000091,CUST00012,2024-10-24,1499,Net Banking,Success
PAY0000092,CUST00012,2024-11-24,4497,Net Banking,Success
PAY0000093,CUST00012,2024-12-24,4497,Net Banking,Success
PAY0000094,CUST00012,2025-01-24,1499,Net Banking,Success
PAY0000095,CUST00012,2025-02-24,4497,Net Banking,Success
PAY0000096,CUST00012,2025-03-24,1499,Net Banking,Success
PAY0000097,CUST00012,2025-04-24,1499,Net Banking,Success
PAY0000098,CUST00012,2025-05-24,1499,Net Banking,Success
PAY0000099,CUST00012,2025-06-24,17988,Net Banking,Success
PAY0000100,CUST00013,2025-10-08,1199,Credit Card,Success
PAY0000101,CUST00013,2025-11-08,1199,Credit Card,Success
PAY0000102,CUST00013,2025-12-08,1199,Credit Card,Success
PAY0000103,CUST00013,2026-01-08,1199,Credit Card,Success
PAY0000104,CUST00013,2026-02-08,1199,Credit Card,Success
PAY0000105,CUST00013,2026-03-08,1199,Credit Card,Success
PAY0000106,CUST00013,2026-04-08,1199,Credit Card,Failed
PAY0000107,CUST00014,2024-08-07,799,Net Banking,Success
PAY0000108,CUST00014,2024-09-07,9588,Net Banking,Success
PAY0000109,CUST00014,2024-10-07,1598,Net Banking,Success
PAY0000110,CUST00014,2024-11-07,799,Net Banking,Success
PAY0000111,CUST00014,2024-12-07,1598,Net Banking,Success
PAY0000112,CUST00014,2025-01-07,1598,Net Banking,Success
PAY0000113,CUST00014,2025-02-07,1598,Net Banking,Failed
PAY0000114,CUST00014,2025-03-07,9588,Net Banking,Success
PAY0000115,CUST00014,2025-04-07,799,Net Banking,Success
PAY0000116,CUST00014,2025-05-07,9588,Net Banking,Success
PAY0000117,CUST00014,2025-06-07,9588,Net Banking,Success
PAY0000118,CUST00014,2025-07-07,9588,Net Banking,Success
PAY0000119,CUST00015,2024-04-10,799,AutoPay,Success
PAY0000120,CUST00015,2024-05-10,799,AutoPay,Success
PAY0000121,CUST00015,2024-06-10,799,AutoPay,Success
PAY0000122,CUST00015,2024-07-10,799,AutoPay,Success
PAY0000123,CUST00015,2024-08-10,799,AutoPay,Success
PAY0000124,CUST00015,2024-09-10,799,AutoPay,Success
PAY0000125,CUST00015,2024-10-10,799,AutoPay,Failed
PAY0000126,CUST00015,2024-11-10,799,AutoPay,Success
PAY0000127,CUST00015,2024-12-10,799,AutoPay,Success
PAY0000128,CUST00015,2025-01-10,799,AutoPay,Success
PAY0000129,CUST00015,2025-02-10,799,AutoPay,Success
PAY0000130,CUST00015,2025-03-10,799,AutoPay,Success
PAY0000131,CUST00016,2024-02-21,799,Net Banking,Success
PAY0000132,CUST00016,2024-03-21,799,Net Banking,Success
PAY0000133,CUST00016,2024-04-21,799,Net Banking,Success
PAY0000134,CUST00016,2024-05-21,799,Net Banking,Success
PAY0000135,CUST00016,2024-06-21,799,Net Banking,Success
PAY0000136,CUST00016,2024-07-21,799,Net Banking,Success
PAY0000137,CUST00016,2024-08-21,799,Net Banking,Success
PAY0000138,CUST00016,2024-09-21,799,Net Banking,Failed
PAY0000139,CUST00016,2024-10-21,799,Net Banking,Success
PAY0000140,CUST00016,2024-11-21,799,Net Banking,Success
PAY0000141,CUST00016,2024-12-21,799,Net Banking,Success
PAY0000142,CUST00016,2025-01-21,799,Net Banking,Success
PAY0000143,CUST00017,2025-02-14,1499,Net Banking,Success
PAY0000144,CUST00017,2025-03-14,1499,Net Banking,Success
PAY0000145,CUST00017,2025-04-14,1499,Net Banking,Failed
PAY0000146,CUST00017,2025-05-14,1499,Net Banking,Success
