Subscription_ID,Customer_ID,Plan,Monthly_Fee,Contract_Type,Support_Tier,Start_Date
SUB00001,CUST00001,Standard,799,Monthly,5,2025-10-16
SUB00002,CUST00002,Family,1499,Monthly,15,2025-06-01
SUB00003,CUST00003,Premium,1199,Monthly,10,2026-02-16
SUB00004,CUST00004,Family,1499,Monthly,15,2025-09-10
SUB00005,CUST00005,Basic,499,Annual,2,2025-12-22
SUB00006,CUST00006,Standard,799,Monthly,5,2025-12-19
SUB00007,CUST00007,Standard,799,Annual,5,2026-04-04
SUB00008,CUST00008,Basic,499,Monthly,2,2024-05-21
SUB00009,CUST00009,Premium,1199,Monthly,10,2025-11-27
SUB00010,CUST00010,Basic,499,Annual,2,2024-01-04
SUB00011,CUST00011,Basic,499,Quarterly,2,2024-09-02
SUB00012,CUST00012,Family,1499,Annual,15,2024-07-24
SUB00013,CUST00013,Premium,1199,Monthly,10,2025-10-08
SUB00014,CUST00014,Standard,799,Annual,5,2024-08-07
SUB00015,CUST00015,Standard,799,Monthly,5,2024-04-10
SUB00016,CUST00016,Standard,799,Monthly,5,2024-02-21
SUB00017,CUST00017,Family,1499,Monthly,15,2025-02-14
SUB00018,CUST00018,Standard,799,Monthly,5,2025-12-14
SUB00019,CUST00019,Basic,499,Quarterly,2,2024-02-28
SUB00020,CUST00020,Premium,1199,Monthly,10,2024-11-17
SUB00021,CUST00021,Premium,1199,Monthly,10,2025-09-28
SUB00022,CUST00022,Basic,499,Annual,2,2025-09-18
SUB00023,CUST00023,Premium,1199,Annual,10,2025-10-11
SUB00024,CUST00024,Premium,1199,Monthly,10,2024-05-10
SUB00025,CUST00025,Standard,799,Annual,5,2026-03-09
SUB00026,CUST00026,Standard,799,Annual,5,2026-03-12
SUB00027,CUST00027,Standard,799,Monthly,5,2026-04-16
SUB00028,CUST00028,Premium,1199,Annual,10,2024-03-12
SUB00029,CUST00029,Basic,499,Quarterly,2,2024-04-28
SUB00030,CUST00030,Family,1499,Quarterly,15,2025-12-14
SUB00031,CUST00031,Premium,1199,Monthly,10,2025-06-07
SUB00032,CUST00032,Basic,499,Monthly,2,2024-05-30
SUB00033,CUST00033,Standard,799,Annual,5,2026-02-07
SUB00034,CUST00034,Family,1499,Annual,15,2025-06-27
SUB00035,CUST00035,Premium,1199,Monthly,10,2025-03-26
SUB00036,CUST00036,Standard,799,Annual,5,2024-12-04
SUB00037,CUST00037,Standard,799,Annual,5,2025-05-12
SUB00038,CUST00038,Premium,1199,Annual,10,2024-12-11
SUB00039,CUST00039,Standard,799,Annual,5,2026-02-24
SUB00040,CUST00040,Premium,1199,Annual,10,2024-03-18
SUB00041,CUST00041,Family,1499,Monthly,15,2025-12-25
SUB00042,CUST00042,Family,1499,Quarterly,15,2024-09-08
SUB00043,CUST00043,Basic,499,Monthly,2,2025-05-02
SUB00044,CUST00044,Premium,1199,Monthly,10,2024-11-09
SUB00045,CUST00045,Standard,799,Quarterly,5,2026-01-30
SUB00046,CUST00046,Premium,1199,Quarterly,10,2025-06-30
SUB00047,CUST00047,Basic,499,Monthly,2,2024-04-26
SUB00048,CUST00048,Standard,799,Quarterly,5,2025-08-05
SUB00049,CUST00049,Premium,1199,Quarterly,10,2025-04-26
SUB00050,CUST00050,Family,1499,Monthly,15,2025-04-24
SUB00051,CUST00051,Premium,1199,Monthly,10,2026-02-20
SUB00052,CUST00052,Family,1499,Annual,15,2024-12-03
SUB00053,CUST00053,Family,1499,Annual,15,2024-02-25
SUB00054,CUST00054,Standard,799,Annual,5,2025-07-18
SUB00055,CUST00055,Standard,799,Annual,5,2024-09-06
SUB00056,CUST00056,Family,1499,Annual,15,2024-12-19
SUB00057,CUST00057,Basic,499,Annual,2,2025-05-22
SUB00058,CUST00058,Premium,1199,Quarterly,10,2025-02-11
SUB00059,CUST00059,Family,1499,Quarterly,15,2025-01-02
SUB00060,CUST00060,Premium,1199,Monthly,10,2025-03-28
SUB00061,CUST00061,Basic,499,Annual,2,2024-01-23
SUB00062,CUST00062,Family,1499,Monthly,15,2025-10-05
SUB00063,CUST00063,Standard,799,Monthly,5,2024-10-29
SUB00064,CUST00064,Premium,1199,Monthly,10,2025-04-24
SUB00065,CUST00065,Family,1499,Annual,15,2025-07-03
SUB00066,CUST00066,Standard,799,Monthly,5,2025-12-18
SUB00067,CUST00067,Standard,799,Annual,5,2025-02-01
SUB00068,CUST00068,Premium,1199,Monthly,10,2025-07-11
SUB00069,CUST00069,Basic,499,Annual,2,2025-11-09
SUB00070,CUST00070,Basic,499,Monthly,2,2024-05-13
SUB00071,CUST00071,Family,1499,Monthly,15,2026-01-29
SUB00072,CUST00072,Family,1499,Quarterly,15,2026-01-14
SUB00073,CUST00073,Premium,1199,Quarterly,10,2025-05-17
SUB00074,CUST00074,Family,1499,Monthly,15,2025-04-07
SUB00075,CUST00075,Basic,499,Monthly,2,2025-12-04
SUB00076,CUST00076,Premium,1199,Quarterly,10,2025-02-24
SUB00077,CUST00077,Basic,499,Monthly,2,2025-10-20
SUB00078,CUST00078,Family,1499,Monthly,15,2024-04-03
SUB00079,CUST00079,Family,1499,Quarterly,15,2025-11-21
SUB00080,CUST00080,Basic,499,Monthly,2,2025-11-25
SUB00081,CUST00081,Basic,499,Monthly,2,2026-02-21
SUB00082,CUST00082,Basic,499,Monthly,2,2024-03-14
SUB00083,CUST00083,Basic,499,Monthly,2,2025-08-10
SUB00084,CUST00084,Standard,799,Monthly,5,2025-12-07
SUB00085,CUST00085,Standard,799,Annual,5,2026-03-08
SUB00086,CUST00086,Basic,499,Monthly,2,2024-09-19
SUB00087,CUST00087,Premium,1199,Monthly,10,2025-11-28
SUB00088,CUST00088,Family,1499,Monthly,15,2024-12-26
SUB00089,CUST00089,Standard,799,Monthly,5,2025-04-18
SUB00090,CUST00090,Basic,499,Monthly,2,2025-04-06
SUB00091,CUST00091,Premium,1199,Quarterly,10,2025-01-07
SUB00092,CUST00092,Premium,1199,Annual,10,2024-03-24
SUB00093,CUST00093,Premium,1199,Annual,10,2024-01-19
SUB00094,CUST00094,Family,1499,Monthly,15,2024-06-15
SUB00095,CUST00095,Standard,799,Monthly,5,2024-08-27
