Ticket_ID,Customer_ID,Ticket_Date,Issue_Type,Priority,Resolution_Days,Satisfaction_Score,Contact_Channel
TKT000001,CUST00001,2025-11-03,Billing,Low,4,4.0,Chat
TKT000002,CUST00003,2026-04-15,Billing,Low,4,4.0,Phone
TKT000003,CUST00005,2026-04-27,Other,Medium,2,4.0,Chat
TKT000004,CUST00006,2026-03-22,Billing,Low,3,4.0,Email
TKT000005,CUST00007,2026-05-15,Plan Change,Medium,4,3.0,App
TKT000006,CUST00007,2026-04-23,Technical,Low,1,3.0,Phone
TKT000007,CUST00007,2026-05-31,Cancellation,Low,2,5.0,App
TKT000008,CUST00008,2025-06-29,Plan Change,Medium,1,5.0,App
TKT000009,CUST00008,2025-11-23,Technical,High,8,2.0,Email
TKT000010,CUST00015,2025-06-26,Connectivity,Low,5,3.0,Chat
TKT000011,CUST00015,2024-07-06,Plan Change,Medium,8,5.0,Email
TKT000012,CUST00018,2026-01-07,Billing,Medium,1,4.0,Chat
TKT000013,CUST00019,2025-10-13,Connectivity,Medium,4,3.0,Email
TKT000014,CUST00021,2026-04-15,Technical,Low,2,3.0,Phone
TKT000015,CUST00022,2025-11-21,Other,Medium,3,3.0,Phone
TKT000016,CUST00022,2026-02-19,Cancellation,Low,2,4.0,Phone
TKT000017,CUST00023,2026-03-11,Other,Low,2,3.0,Email
TKT000018,CUST00023,2025-11-18,Billing,High,7,2.0,Chat
TKT000019,CUST00029,2025-07-23,Billing,High,5,2.0,Phone
TKT000020,CUST00030,2026-04-06,Cancellation,Medium,2,5.0,Phone
TKT000021,CUST00030,2026-03-07,Connectivity,Low,3,4.0,Phone
TKT000022,CUST00031,2025-10-15,Other,Low,2,4.0,Chat
TKT000023,CUST00032,2025-10-28,Plan Change,Low,2,2.0,Email
TKT000024,CUST00033,2026-04-29,Connectivity,High,5,3.0,Email
TKT000025,CUST00035,2025-06-21,Connectivity,Low,1,4.0,Chat
TKT000026,CUST00035,2026-04-01,Connectivity,Low,2,5.0,App
TKT000027,CUST00036,2026-04-16,Billing,High,7,3.0,Phone
TKT000028,CUST00037,2026-03-21,Cancellation,Medium,6,4.0,Email
TKT000029,CUST00038,2025-08-07,Other,Low,2,5.0,Email
TKT000030,CUST00038,2025-01-21,Connectivity,Low,4,4.0,Email
TKT000031,CUST00039,2026-05-18,Other,High,3,2.0,App
TKT000032,CUST00040,2025-03-18,Cancellation,Low,1,3.0,Phone
TKT000033,CUST00042,2026-02-06,Technical,Low,3,3.0,Chat
TKT000034,CUST00042,2025-09-16,Technical,Low,1,4.0,Phone
TKT000035,CUST00044,2026-02-26,Technical,Low,6,3.0,Chat
TKT000036,CUST00044,2025-03-22,Other,Low,5,3.0,Email
TKT000037,CUST00045,2026-05-26,Connectivity,Low,5,5.0,Phone
TKT000038,CUST00047,2024-09-04,Cancellation,Medium,2,4.0,Chat
TKT000039,CUST00047,2025-10-23,Plan Change,Low,3,3.0,App
TKT000040,CUST00047,2025-03-06,Cancellation,High,1,4.0,Phone
TKT000041,CUST00049,2025-09-18,Other,Medium,6,4.0,Chat
TKT000042,CUST00049,2025-12-09,Billing,Low,7,4.0,Chat
TKT000043,CUST00050,2025-10-16,Cancellation,Low,12,4.0,Email
TKT000044,CUST00050,2025-08-29,Other,Medium,2,4.0,Email
TKT000045,CUST00050,2026-05-30,Other,Medium,6,3.0,Email
TKT000046,CUST00051,2026-03-13,Plan Change,Low,5,4.0,Phone
TKT000047,CUST00051,2026-04-12,Other,Low,2,4.0,Chat
TKT000048,CUST00055,2025-06-25,Plan Change,Low,4,5.0,Phone
TKT000049,CUST00058,2026-01-10,Other,High,1,3.0,Chat
TKT000050,CUST00058,2026-03-10,Billing,Low,6,4.0,Email
TKT000051,CUST00059,2025-02-21,Cancellation,Medium,1,4.0,Chat
TKT000052,CUST00059,2025-09-23,Cancellation,Low,4,4.0,App
TKT000053,CUST00060,2025-12-10,Billing,Low,1,4.0,Phone
TKT000054,CUST00060,2026-01-26,Technical,High,2,3.0,Phone
TKT000055,CUST00063,2025-04-25,Technical,High,1,3.0,App
TKT000056,CUST00063,2025-09-06,Other,Medium,2,4.0,Email
TKT000057,CUST00066,2026-01-21,Connectivity,Medium,8,4.0,Chat
TKT000058,CUST00069,2025-12-06,Cancellation,Low,4,3.0,Chat
TKT000059,CUST00070,2024-06-08,Connectivity,Low,15,3.0,Chat
TKT000060,CUST00071,2026-04-13,Connectivity,High,2,2.0,Email
TKT000061,CUST00073,2026-04-11,Other,Medium,2,3.0,Phone
TKT000062,CUST00073,2025-12-08,Cancellation,Low,1,3.0,App
TKT000063,CUST00074,2025-09-24,Other,Low,10,4.0,Chat
TKT000064,CUST00075,2026-05-06,Cancellation,Low,2,4.0,Email
TKT000065,CUST00076,2025-05-24,Other,Low,6,4.0,Email
TKT000066,CUST00077,2025-10-31,Connectivity,Medium,14,4.0,App
TKT000067,CUST00077,2025-11-16,Connectivity,Medium,2,5.0,Email
TKT000068,CUST00078,2025-03-11,Cancellation,Medium,2,4.0,Email
TKT000069,CUST00078,2024-09-19,Connectivity,Medium,2,5.0,Email
TKT000070,CUST00080,2026-01-26,Technical,High,2,2.0,Chat
TKT000071,CUST00081,2026-04-20,Cancellation,Medium,6,4.0,Phone
TKT000072,CUST00084,2026-03-06,Other,Low,4,5.0,Phone
TKT000073,CUST00087,2026-05-18,Technical,Medium,6,4.0,Email
TKT000074,CUST00088,2025-04-07,Cancellation,Medium,2,4.0,App
TKT000075,CUST00092,2025-02-14,Cancellation,Low,9,5.0,Phone
TKT000076,CUST00093,2024-06-17,Connectivity,Low,3,4.0,Email
TKT000077,CUST00094,2026-03-12,Technical,Medium,2,4.0,App
TKT000078,CUST00095,2025-06-21,Plan Change,Low,1,4.0,App
TKT000079,CUST00097,2025-03-24,Technical,High,1,3.0,Phone
TKT000080,CUST00098,2026-06-17,Billing,High,10,3.0,Email
TKT000081,CUST00100,2026-03-14,Plan Change,Low,2,3.0,Email
TKT000082,CUST00103,2026-02-12,Billing,Medium,1,4.0,Email
TKT000083,CUST00104,2025-07-11,Technical,Low,1,3.0,App
TKT000084,CUST00106,2025-01-16,Billing,Medium,4,4.0,App
TKT000085,CUST00109,2024-11-24,Other,High,2,2.0,App
TKT000086,CUST00111,2025-10-31,Technical,Medium,6,4.0,Phone
TKT000087,CUST00112,2026-01-15,Billing,Low,7,5.0,Phone
TKT000088,CUST00113,2025-07-31,Connectivity,Medium,1,3.0,Phone
TKT000089,CUST00114,2026-04-21,Cancellation,Low,7,4.0,Chat
TKT000090,CUST00115,2026-01-05,Connectivity,Low,3,4.0,Chat
TKT000091,CUST00115,2025-08-03,Other,Low,2,3.0,Phone
TKT000092,CUST00116,2025-08-21,Cancellation,Medium,2,5.0,Chat
TKT000093,CUST00117,2026-03-16,Billing,Medium,2,4.0,App
TKT000094,CUST00118,2025-03-18,Billing,Low,3,4.0,App
TKT000095,CUST00118,2025-12-11,Technical,Medium,6,4.0,Email
TKT000096,CUST00118,2024-10-05,Billing,Low,1,3.0,Phone
TKT000097,CUST00119,2026-04-26,Plan Change,Low,3,3.0,Chat
TKT000098,CUST00121,2026-05-28,Other,Low,1,3.0,Email
TKT000099,CUST00121,2024-08-20,Billing,Low,3,4.0,App
TKT000100,CUST00125,2025-03-04,Other,Low,3,4.0,App
TKT000101,CUST00125,2026-03-16,Technical,Medium,2,5.0,Chat
TKT000102,CUST00126,2024-12-26,Other,Medium,1,3.0,Email
TKT000103,CUST00127,2025-08-26,Billing,Medium,7,3.0,Chat
TKT000104,CUST00128,2026-05-06,Cancellation,Low,9,2.0,Chat
TKT000105,CUST00129,2024-10-15,Plan Change,Medium,4,4.0,Chat
TKT000106,CUST00130,2025-04-07,Cancellation,Medium,5,3.0,Email
TKT000107,CUST00133,2026-01-14,Plan Change,Low,2,4.0,Phone
TKT000108,CUST00134,2025-09-01,Cancellation,Low,4,4.0,Email
TKT000109,CUST00141,2026-01-24,Technical,Low,6,4.0,Chat
TKT000110,CUST00141,2026-03-30,Cancellation,Low,6,4.0,Phone
TKT000111,CUST00142,2025-01-11,Cancellation,Low,3,3.0,App
TKT000112,CUST00143,2024-10-23,Cancellation,Medium,1,5.0,Chat
TKT000113,CUST00145,2026-02-07,Technical,Low,9,2.0,Chat
TKT000114,CUST00146,2026-05-25,Connectivity,Low,5,4.0,Phone
TKT000115,CUST00148,2026-04-19,Billing,Medium,4,4.0,App
TKT000116,CUST00152,2024-10-29,Connectivity,High,4,2.0,App
TKT000117,CUST00154,2025-12-13,Cancellation,High,4,3.0,App
TKT000118,CUST00155,2026-04-05,Other,Medium,2,3.0,App
TKT000119,CUST00155,2026-03-23,Cancellation,Low,1,3.0,Chat
TKT000120,CUST00156,2026-04-12,Billing,Low,4,5.0,Phone
TKT000121,CUST00158,2026-03-26,Connectivity,Low,3,4.0,Phone
TKT000122,CUST00162,2026-04-20,Cancellation,Medium,5,3.0,Phone
TKT000123,CUST00164,2026-03-18,Plan Change,Low,1,4.0,App
TKT000124,CUST00165,2024-07-24,Billing,Low,6,4.0,Chat
TKT000125,CUST00165,2025-09-11,Other,Low,2,4.0,Chat
TKT000126,CUST00168,2025-09-25,Other,Medium,4,3.0,App
TKT000127,CUST00168,2025-07-06,Other,Medium,1,4.0,Chat
TKT000128,CUST00171,2025-12-12,Cancellation,Low,3,4.0,Chat
TKT000129,CUST00172,2025-11-24,Technical,Medium,2,5.0,Email
TKT000130,CUST00173,2025-07-31,Billing,Low,5,5.0,Phone
TKT000131,CUST00175,2025-03-24,Cancellation,Low,2,4.0,Chat
TKT000132,CUST00176,2026-05-29,Technical,High,6,3.0,Email
TKT000133,CUST00176,2026-05-01,Plan Change,High,3,4.0,Phone
TKT000134,CUST00177,2025-12-31,Other,Low,2,2.0,App
TKT000135,CUST00178,2025-12-29,Connectivity,Low,3,4.0,Phone
TKT000136,CUST00178,2025-10-16,Technical,Low,1,3.0,Chat
